Episode,Value
0,8454.0
0,8212.5
0,8365.5
0,8555.5
0,8453.0
0,8215.5
0,8201.5
0,8223.5
0,8584.5
0,7365.5
0,8109.5
0,8254.5
0,7960.5
0,8268.5
0,8896.0
0,8315.5
0,8974.5
0,7490.5
0,9115.5
0,8644.0
0,8708.0
0,8196.5
0,8166.5
0,7865.5
0,8403.5
0,7268.5
0,7420.5
0,7791.5
0,8089.5
0,7784.5
0,8897.0
0,8321.5
0,8707.0
0,7467.5
0,9254.5
0,8898.0
0,8579.0
0,8002.5
0,8074.0
0,7583.5
0,8267.5
0,7261.5
0,7211.5
0,7710.5
0,8038.5
0,7277.5
0,8992.0
0,8209.5
0,8573.0
0,7440.5
0,8790.5
0,9038.0
0,8254.0
0,8002.5
0,8252.0
0,7839.5
0,7528.5
0,7399.5
0,7345.0
0,7756.5
0,6996.5
0,7116.5
0,9044.0
0,8149.5
0,8581.0
0,7407.0
0,8805.5
0,9052.0
0,8164.0
0,7808.5
0,8515.0
0,8027.5
0,7459.5
0,7170.5
0,7098.0
0,7642.5
0,7083.5
0,7205.5
0,8171.0
0,8150.5
0,8616.0
0,7455.0
0,8206.5
0,9058.0
0,7829.0
0,7775.5
0,8256.0
0,7881.5
0,7259.5
0,7165.0
0,6953.0
0,7797.5
0,7032.5
0,7066.5
0,8230.0
0,8183.5
0,8551.0
0,7577.0
0,8204.5
0,8680.0
0,7753.0
0,7802.0
0,8329.5
0,8155.5
0,7140.5
0,7327.5
0,6980.0
0,7806.5
0,6822.5
0,7187.0
0,7765.0
0,7969.5
0,8266.0
0,7578.0
0,8620.5
0,8678.0
0,7753.0
0,7806.0
0,8232.0
0,7925.5
0,7120.5
0,6999.5
0,6934.0
0,7813.5
0,6861.5
0,7998.0
0,7201.0
0,8174.5
0,8532.0
0,7644.0
0,8623.5
0,8665.0
0,7740.0
0,7723.0
0,7869.0
0,7798.5
0,7041.5
0,7111.5
0,7066.0
0,7893.5
0,7087.5
0,8041.0
0,7201.0
0,8129.5
0,8642.0
0,7639.0
0,8696.5
0,8326.0
0,8181.0
0,7607.5
0,7403.0
0,7747.5
0,7112.5
0,7080.5
0,7340.0
0,8154.5
0,7149.0
0,8037.0
0,7262.0
0,8310.0
0,8832.0
0,7652.0
0,8693.5
0,7789.5
0,8041.5
0,7546.5
0,7778.0
0,8195.0
0,7112.5
0,7104.5
0,7296.0
0,8462.5
0,7145.0
0,8117.0
0,7342.0
0,8488.0
0,8464.0
0,7900.0
0,8278.5
0,7488.5
0,8138.5
0,7333.0
0,7714.0
0,8848.5
0,7244.0
0,7116.5
0,8181.0
0,8521.5
0,7099.0
0,8754.0
0,7612.5
0,8542.0
0,8447.0
0,7868.0
0,8251.0
0,7509.5
0,8451.5
0,7278.0
0,7430.0
0,8850.5
0,7242.5
0,6715.0
0,7768.0
0,8493.5
0,7154.0
0,8695.5
0,7458.5
0,8411.5
0,8633.0
0,7881.0
0,8337.0
0,7333.5
0,8449.5
0,7193.0
0,7803.0
0,8730.5
0,7075.5
0,6974.0
0,7699.0
0,8453.5
0,7268.0
0,8865.5
0,8076.5
0,7547.5
0,8265.5
0,7933.0
0,7961.0
0,7262.5
0,8548.5
0,7237.5
0,7809.0
0,8553.0
0,7049.5
0,6887.0
0,7925.0
0,8474.5
0,6792.5
0,8887.5
0,8065.5
0,8044.5
0,8127.5
0,7957.0
0,7929.0
0,7079.0
0,8527.5
0,6571.0
0,7808.0
0,8729.0
0,7290.0
0,6937.0
0,7884.0
0,8495.5
0,7235.5
0,8968.5
0,8088.5
0,7737.5
1,8692.5
1,8345.5
1,8299.5
1,8302.5
1,8087.0
1,8453.5
1,8426.5
1,8422.5
1,8345.5
1,7802.5
1,8359.5
1,8279.0
1,8192.5
1,8372.5
1,7992.5
1,8409.0
1,8081.5
1,9107.5
1,8062.5
1,8577.5
1,8439.0
1,8556.5
1,8833.5
1,8675.5
1,8298.5
1,7280.0
1,7964.5
1,7390.0
1,7704.5
1,8654.0
1,8118.5
1,7556.0
1,8065.5
1,8917.5
1,8055.5
1,8459.5
1,8724.0
1,8585.5
1,8465.5
1,8655.0
1,7892.0
1,7334.0
1,8242.5
1,8279.0
1,7898.0
1,8666.0
1,7576.0
1,7321.0
1,8448.0
1,8527.5
1,8023.5
1,8273.5
1,8727.0
1,8499.5
1,9230.5
1,8729.0
1,7905.0
1,7136.0
1,8081.0
1,7808.0
1,7892.0
1,8698.0
1,7530.0
1,7045.0
1,8467.0
1,8508.5
1,8093.5
1,8143.5
1,7988.0
1,8514.5
1,9304.5
1,8685.5
1,7937.0
1,6616.0
1,7547.0
1,8085.0
1,7703.0
1,8670.0
1,7522.0
1,6964.0
1,8384.5
1,8410.5
1,8260.5
1,7455.5
1,7655.0
1,8557.5
1,9366.5
1,8796.5
1,7975.0
1,6516.0
1,7607.0
1,8127.0
1,7521.0
1,8905.0
1,7504.0
1,6255.0
1,8369.5
1,8077.0
1,8236.5
1,7471.5
1,6995.0
1,8337.0
1,9247.0
1,8719.5
1,7960.0
1,6476.0
1,7393.0
1,8178.0
1,7523.0
1,8723.0
1,7480.0
1,6261.0
1,8635.0
1,7867.0
1,8103.5
1,7446.5
1,7011.0
1,8519.0
1,9266.0
1,8624.5
1,7801.0
1,6672.0
1,7285.0
1,8093.0
1,7525.0
1,9051.0
1,7801.0
1,6519.0
1,8641.0
1,7864.0
1,8042.5
1,7504.0
1,6977.0
1,8311.0
1,9261.0
1,7785.5
1,7793.0
1,6677.0
1,7337.0
1,8152.0
1,7256.0
1,9052.0
1,7427.0
1,6471.0
1,8737.5
1,7936.0
1,8400.5
1,7477.0
1,7005.0
1,8157.0
1,9076.0
1,7740.5
1,7831.0
1,6690.0
1,7266.0
1,8213.0
1,7349.0
1,9074.5
1,7173.0
1,7050.0
1,8874.0
1,8272.0
1,8016.5
1,7384.0
1,7005.0
1,8045.0
1,8999.0
1,7561.5
1,7954.0
1,6729.0
1,7110.0
1,8168.0
1,7215.0
1,9055.5
1,6911.0
1,6827.0
1,8740.0
1,8177.0
1,8097.5
1,7499.0
1,6407.0
1,7973.0
1,8488.0
1,7378.5
1,8020.0
1,6952.0
1,6999.0
1,8182.0
1,7086.0
1,8910.5
1,6964.0
1,6804.0
1,8646.0
1,8245.0
1,8407.0
1,7475.0
1,6418.0
1,7544.0
1,8308.0
1,7331.5
1,8019.0
1,6933.0
1,6849.0
1,8169.0
1,7278.5
1,8956.5
1,6886.0
1,6903.0
1,8335.0
1,8113.0
1,8696.0
1,7462.0
1,6576.0
1,7544.0
1,8234.0
1,7630.5
1,8448.0
1,6941.5
1,6865.0
1,8239.0
1,7540.5
1,8335.5
1,6560.0
1,6903.0
1,7469.0
1,8010.0
1,8321.0
1,7440.0
1,6640.0
1,7556.0
1,8234.0
1,7658.5
1,7783.0
1,6974.0
1,7598.0
1,8204.0
1,7607.5
1,8220.0
1,6491.0
1,6831.0
1,7720.0
1,8021.0
1,8246.0
1,7991.0
1,6561.0
1,7962.0
1,8738.0
1,7603.5
1,7742.0
1,6933.0
1,7563.5
1,7954.0
1,7850.5
1,8217.0
1,6603.0
1,6767.0
2,8302.5
2,8292.5
2,8326.5
2,7461.5
2,8198.5
2,8248.5
2,8289.5
2,8344.5
2,8462.5
2,8359.5
2,8647.5
2,8204.5
2,8203.5
2,8460.5
2,8393.0
2,7722.5
2,7991.5
2,8216.5
2,8266.5
2,7521.0
2,8156.5
2,8234.5
2,8240.5
2,8312.5
2,9010.5
2,8232.5
2,8997.5
2,8168.5
2,7804.5
2,8872.0
2,8480.0
2,7869.5
2,7929.5
2,8144.0
2,8354.5
2,6630.0
2,8445.5
2,7777.5
2,8240.5
2,8385.5
2,9009.5
2,8180.5
2,8725.5
2,8222.0
2,7775.5
2,9369.0
2,8625.0
2,7474.0
2,7927.5
2,8221.0
2,8393.5
2,6624.0
2,8444.5
2,7376.5
2,8531.5
2,8289.5
2,8988.5
2,8178.5
2,8738.5
2,8291.0
2,7541.5
2,9357.5
2,9509.0
2,7467.0
2,7187.5
2,8504.0
2,8512.5
2,6200.0
2,8367.5
2,7559.5
2,8595.5
2,8287.5
2,9289.0
2,7785.5
2,8118.5
2,8261.0
2,7382.5
2,8335.0
2,9260.0
2,7122.0
2,7486.5
2,8080.0
2,8644.5
2,6428.0
2,8147.5
2,7565.5
2,8597.5
2,8282.0
2,9160.0
2,7787.5
2,8099.5
2,8226.0
2,7687.5
2,8237.0
2,9436.0
2,7435.0
2,7988.5
2,8142.0
2,8373.5
2,6122.0
2,8174.0
2,7562.5
2,8572.5
2,8254.0
2,8279.0
2,7943.5
2,8166.5
2,8278.0
2,8504.5
2,8293.0
2,7769.0
2,7532.0
2,8105.5
2,8588.0
2,7806.0
2,6158.0
2,8584.0
2,7286.0
2,8142.5
2,8104.0
2,8263.0
2,7699.5
2,8189.5
2,8367.0
2,8770.5
2,8303.0
2,7828.5
2,7649.0
2,7464.5
2,7739.0
2,7902.0
2,6545.0
2,8865.0
2,7271.0
2,8101.5
2,8105.0
2,8046.0
2,7699.5
2,8130.5
2,8360.5
2,8837.5
2,8243.0
2,7572.5
2,7619.0
2,7397.5
2,7712.0
2,7876.0
2,6387.5
2,8742.0
2,7055.0
2,8015.5
2,7314.0
2,7739.0
2,8270.5
2,8054.5
2,8335.5
2,8788.5
2,8214.0
2,7831.5
2,8086.0
2,7433.5
2,7624.0
2,7809.0
2,6242.5
2,8729.0
2,7344.0
2,7899.5
2,7265.0
2,7868.0
2,7982.5
2,7830.5
2,7795.5
2,8983.5
2,7930.0
2,7908.5
2,8120.5
2,7505.5
2,7716.0
