Episode,Value
0,8277.5
0,7335.5
0,7844.0
0,8221.0
0,8578.5
0,7437.5
0,7776.5
0,8267.5
0,8420.5
0,8203.0
0,8350.5
0,8131.5
0,8412.5
0,8076.5
0,8426.0
0,8009.5
0,8448.0
0,7629.5
0,7917.0
0,7651.0
0,8175.5
0,7109.5
0,7700.5
0,8276.5
0,8442.5
0,8684.0
0,8384.5
0,8099.5
0,8418.5
0,8098.5
0,8469.0
0,8163.0
0,7692.0
0,7685.5
0,8287.0
0,7688.0
0,8244.5
0,7088.5
0,7687.0
0,8376.5
0,8752.5
0,8677.0
0,8167.0
0,8153.5
0,8189.5
0,8077.5
0,7633.0
0,8000.0
0,7462.0
0,7479.5
0,8265.0
0,7634.0
0,8230.5
0,7136.0
0,7692.0
0,8363.5
0,8526.5
0,8415.0
0,8199.5
0,8339.5
0,8149.5
0,8777.5
0,7649.0
0,7980.0
0,7522.0
0,7582.5
0,8247.0
0,7516.0
0,8043.0
0,7144.0
0,7846.0
0,8523.0
0,8435.5
0,8405.0
0,8202.5
0,8336.5
0,8049.5
0,8826.0
0,7605.0
0,7916.0
0,7887.0
0,7337.5
0,8339.0
0,7954.0
0,7485.0
0,7469.0
0,7691.5
0,8473.0
0,7705.0
0,7947.0
0,8370.5
0,8347.5
0,7756.5
0,8859.0
0,7928.0
0,7742.0
0,7901.0
0,7470.5
0,8213.0
0,8008.0
0,7399.0
0,7547.0
0,7939.5
0,8481.0
0,7754.5
0,8163.0
0,8062.5
0,8262.5
0,7621.5
0,8828.0
0,7933.0
0,7819.0
0,7901.0
0,7358.5
0,9299.0
0,8050.0
0,7383.0
0,7412.0
0,7839.0
0,8490.0
0,7754.5
0,8166.5
0,8081.5
0,8041.5
0,7457.0
0,8130.0
0,7906.0
0,7786.0
0,7819.0
0,6937.5
0,9314.5
0,7932.0
0,7115.0
0,7793.0
0,7930.0
0,8606.0
0,7877.0
0,8103.5
0,8225.5
0,8603.5
0,7420.0
0,8575.0
0,8061.0
0,7800.0
0,7729.0
0,6938.5
0,9349.5
0,8392.0
